Source,Target,CoAuthored
"Wang, XZ","Roberts, A",2
"Zhang, YZ","Dolan, B",2
"Robinson, K","Zhou, D",2
"Levy, O","Liu, YH",2
"Cai, T","Sifre, L",2
"Clark, A","Elsen, E",2
"Clark, A","Rae, JW",2
"Clark, A","Simonyan, K",2
"Clark, A","Osindero, S",2
"Chiu, CC","Zhang, Y",2
"Rutherford, E","Borgeaud, S",2
"Rutherford, E","Mensch, A",2
"Clark, A","Vinyals, O",2
"Acharya, UR","Sree, SV",2
"Rutherford, E","Hoffmann, J",2
"Rutherford, E","Cai, T",2
"Rutherford, E","Millican, K",2
"Acharya, UR","Martis, RJ",2
"Acharya, UR","Suri, JS",2
"Rutherford, E","van den Driessche, G",2
"Clark, A","Sifre, L",2
"Shazeer, N","Zoph, B",2
"Rutherford, E","Damoc, B",2
"Cai, T","Elsen, E",2
"Cai, T","Hennigan, T",2
"Zoph, B","Roberts, A",2
"Zoph, B","Mishra, G",2
"Zoph, B","Devlin, J",2
"Zoph, B","Narang, S",2
"Zoph, B","Chowdhery, A",2
"Zoph, B","Le, Q",2
"Etzioni, O","Soderland, S",2
"Horne, BG","Giles, CL",2
"Cai, T","Vinyals, O",2
"Levy, O","Zettlemoyer, L",2
"Cai, T","Osindero, S",2
"Wei, J","Zoph, B",2
"Cai, T","Simonyan, K",2
"Cai, T","Rae, JW",2
"Wei, J","Petrov, S",2
"Rutherford, E","Clark, A",2
"Soderland, S","Etzioni, O",2
"Clark, A","Millican, K",2
"Zhang, Y","Weiss, RJ",2
"Lee, K","Kwiatkowski, T",2
"Clark, A","Rutherford, E",2
"Zhang, Y","Jia, Y",2
"Clark, A","Cai, T",2
"Liu, YH","Ghazvininejad, M",2
"Wu, H","Wang, HF",2
"Rutherford, E","Rae, JW",2
"Lee, K","Narang, S",2
"Lee, K","Roberts, A",2
"Lee, K","Shazeer, N",2
"Clark, A","Hoffmann, J",2
"Eyben, F","Schuller, B",2
"Liu, YH","Li, X",2
"Rutherford, E","Elsen, E",2
"Rutherford, E","Simonyan, K",2
"Lee, K","Collins, M",2
"Wei, J","Dean, J",2
"Rutherford, E","Osindero, S",2
"Deng, L","Wu, YJ",2
"Rutherford, E","Guy, A",2
"Deng, L","Li, GQ",2
"Clark, A","Hennigan, T",2
"Rutherford, E","Hennigan, T",2
"Clark, A","Guy, A",2
"Liu, Y","Lapata, M",2
"Clark, A","Damoc, B",2
"Lee, K","Petrov, S",2
"Liu, Y","Ding, N",2
"Lee, K","Dai, AM",2
"Wang, HF","Wu, H",2
"Zhang, Y","Chen, ZF",2
"Clark, A","van den Driessche, G",2
"Rutherford, E","Vinyals, O",2
"Zoph, B","Chung, HW",2
"Gao, JF","Chang, MW",2
"Liu, YH","Levy, O",2
"Rae, JW","Cai, T",2
"Rae, JW","Mensch, A",2
"Rae, JW","Borgeaud, S",2
"Hoffmann, J","Damoc, B",2
"Zoph, B","Pellat, M",2
"Hoffmann, J","Clark, A",2
"Sun, MS","Liu, Y",2
"Vincent, E","Watanabe, S",2
"Gao, JF","He, XD",2
"Hoffmann, J","Guy, A",2
"Osindero, S","Sifre, L",2
"Osindero, S","Elsen, E",2
"Osindero, S","Rae, JW",2
"Sun, MS","Luan, HB",2
"Osindero, S","Simonyan, K",2
"Osindero, S","Vinyals, O",2
"Rae, JW","Hoffmann, J",2
